Label,Lat,Lng,image
jax,"30.313392734488673, -81.7453686957211", JAXlabel.png
italy,"37.46468206745895, 14.961638469699672",
orange park,"30.227698717309792, -81.77505073554028",
base,"30.19999786209957, -81.68570255951242",
daisy,"39.956268401195075, -82.1887055759385",
home,"39.956350322210675, -82.1932197159255",
